"date","water_temp"
2020-08-01,25.59
2020-08-02,24.01
2020-08-03,20.44
2020-08-04,21.54
2020-08-05,22.29
2020-08-06,22.85
2020-08-07,23.75
2020-08-08,24.35
2020-08-09,24.39
2020-08-10,23.64
2020-08-11,24.65
2020-08-12,24.54
2020-08-13,23.83
2020-08-14,23.45
2020-08-15,23.34
2020-08-16,22.81
2020-08-17,22.21
2020-08-18,22.7
2020-08-19,23.49
2020-08-20,23.83
2020-08-21,24.28
2020-08-22,24.61
2020-08-23,22.59
2020-08-24,23.19
2020-08-25,23.64
2020-08-26,23.97
2020-08-27,23.79
2020-08-28,23.3
2020-08-29,18.84
2020-08-30,18.95
2020-08-31,19.14
2020-09-01,19.17
2020-09-02,20.41
2020-09-03,21.01
2020-09-04,21.28
2020-09-05,22.1
2020-09-06,21.61
2020-09-07,19.36
2020-09-08,20.38
2020-09-09,21.05
2020-09-10,21.42
2020-09-11,23.41
2020-09-12,23.49
2020-09-13,22.4
2020-09-14,21.2
2020-09-15,21.31
2020-09-16,22.25
2020-09-17,21.99
2020-09-18,21.39
2020-09-19,21.99
2020-09-20,20.34
2020-09-21,19.62
2020-09-22,20.26
2020-09-23,20.41
2020-09-24,21.31
2020-09-25,17.67
2020-09-26,15.42
2020-09-27,14.67
2020-09-28,17.08
2020-09-29,17.07
2020-09-30,17.19
2020-10-01,19.03
2020-10-02,16.92
2020-10-03,15.69
2020-10-04,15.91
2020-10-05,15.73
2020-10-06,17.04
2020-10-07,17.97
2020-10-08,19.7
2020-10-09,18.54
2020-10-10,16.1
2020-10-11,15.24
2020-10-12,14.6
2020-10-13,15.42
2020-10-14,13.03
2020-10-15,12.65
2020-10-16,13.59
2020-10-17,12.88
2020-10-18,13.36
2020-10-19,14.56
2020-10-20,17.19
2020-10-21,19.62
2020-10-22,18.69
2020-10-23,18.09
2020-10-24,15.99
2020-10-25,17.19
2020-10-26,13.7
2020-10-27,13.74
2020-10-28,15.09
2020-10-29,15.54
2020-10-30,15.5
2020-10-31,15.27
2020-11-01,17.04
2020-11-02,16.66
2020-11-03,17.19
2020-11-04,13.96
2020-11-05,14.19
2020-11-06,17.56
2020-11-07,15.99
2020-11-08,15.84
2020-11-09,14.83
2020-11-10,15.05
2020-11-11,14.86
2020-11-12,14.45
2020-11-13,13.96
2020-11-14,15.12
2020-11-15,16.59
2020-11-16,14.71
2020-11-17,14.9
2020-11-18,13.29
2020-11-19,15.24
2020-11-20,12.12
2020-11-21,10.93
2020-11-22,9.725
2020-11-23,10.62
2020-11-24,11.49
2020-11-25,14.22
2020-11-26,15.84
2020-11-27,15.99
2020-11-28,14.64
2020-11-29,15.05
2020-11-30,11.86
2020-12-01,13.1
2020-12-02,10.96
2020-12-03,9.725
2020-12-04,10.02
2020-12-05,8.938
2020-12-06,10.02
2020-12-07,8.975
2020-12-08,10.25
2020-12-09,9.613
